"X.OTU.ID","F3D0","F3D1","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","Kingdom","phylum","class","order","family","genus"
"Otu124",0,0,1,0,3,2,0,7,8,2,0,1,1,3,4,5,4,7,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu125",0,0,0,11,4,3,0,0,1,1,1,0,1,3,0,11,2,7,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu126",7,0,5,0,0,2,0,3,1,1,3,1,4,5,0,4,4,7,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu127",3,3,10,3,4,2,2,2,1,2,0,1,3,3,4,12,8,12,7,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Otu128",6,0,3,7,1,1,1,3,1,2,2,0,1,0,1,3,9,3,4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu129",22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,4,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Otu13",92,327,365,48,87,58,40,45,99,33,10,7,11,15,25,73,53,42,19,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu130",5,1,9,0,5,4,1,10,10,3,0,3,1,4,2,5,8,4,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus"
"Otu131",1,4,10,1,0,4,1,4,4,0,1,0,1,0,2,3,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu132",0,3,6,2,1,2,2,4,5,2,0,2,0,1,2,9,3,3,2,"Bacteria","other","other","other","other","other"
"Otu133",11,0,3,0,0,8,3,3,10,0,0,0,0,0,1,1,1,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"Otu134",1,4,5,0,1,4,2,4,14,1,1,0,0,0,1,1,1,1,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu135",0,0,1,0,0,0,0,4,2,2,2,3,0,2,5,11,7,6,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu136",5,0,1,0,0,1,0,1,1,3,1,2,1,1,2,3,3,7,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu137",4,0,5,2,3,7,1,2,9,0,0,0,0,4,6,7,0,1,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu138",3,1,3,0,2,9,0,0,2,1,0,0,0,0,4,0,0,5,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu139",0,0,1,0,0,1,0,0,2,6,0,1,2,3,0,3,2,9,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter"
"Otu14",66,105,433,402,19,71,39,20,43,6,6,4,6,5,4,40,54,4,5,"Bacteria","other","other","other","other","other"
"Otu140",2,1,2,1,1,3,0,3,6,0,0,1,0,0,1,0,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu141",5,6,3,6,0,4,1,2,1,0,0,0,0,2,0,0,1,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu142",0,0,0,0,0,0,0,0,0,2,2,3,3,4,2,4,6,3,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","other"
"Otu143",3,1,5,4,0,3,2,11,6,0,5,0,0,1,0,3,2,0,0,"Bacteria","Cyanobacteria","Chloroplast","Chloroplast","Streptophyta","other"
"Otu144",5,0,0,0,0,0,0,1,2,0,1,2,2,7,3,2,4,0,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu145",0,3,5,1,1,3,1,3,5,0,1,0,0,0,3,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu147",4,11,4,0,1,2,0,9,5,0,1,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu148",0,1,2,2,0,2,0,1,3,1,0,1,1,0,2,3,1,2,1,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","other"
"Otu149",0,4,4,2,1,1,0,1,2,3,0,0,1,3,2,2,1,1,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu15",318,71,252,51,78,83,25,72,66,76,14,20,25,22,29,106,43,103,54,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu150",3,3,1,0,1,0,0,2,2,1,0,1,1,3,3,6,4,3,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu151",2,2,3,2,1,3,0,1,2,1,0,1,0,0,1,0,1,2,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu152",0,0,0,0,0,0,0,0,0,4,1,1,2,2,1,3,1,4,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu153",2,4,3,0,1,0,0,1,1,2,0,1,3,0,0,2,0,3,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu154",2,4,1,1,1,1,1,3,3,0,0,0,0,0,2,4,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu155",11,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Bacteria","Firmicutes","other","other","other","other"
"Otu156",1,0,4,0,5,1,0,0,0,2,0,0,0,2,0,1,0,1,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu157",0,0,0,0,2,0,1,0,0,1,4,1,1,0,0,4,5,2,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu158",10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Otu159",0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,1,1,3,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu16",58,24,158,85,33,34,19,15,29,32,23,14,36,75,25,101,100,95,36,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum"
"Otu160",1,5,3,0,1,1,0,0,1,0,0,0,1,2,0,0,2,1,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu161",1,0,0,1,0,0,1,2,2,1,2,0,0,0,1,4,2,0,0,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum"
"Otu162",0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,13,7,4,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu163",2,1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,1,4,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu164",0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,1,5,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu165",3,5,3,0,1,1,0,1,0,49,3,22,3,3,10,17,19,82,44,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu166",2,0,1,0,0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu167",0,0,0,2,0,1,1,0,4,2,1,1,0,0,1,0,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu168",1,0,2,0,0,0,0,1,1,1,3,0,0,0,0,3,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter"
"Otu169",0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,2,1,0,"Bacteria","other","other","other","other","other"
"Otu17",42,14,18,1,7,5,2,5,4,89,32,64,13,12,77,80,99,273,145,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu170",0,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu171",8,1,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu172",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,4,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
"Otu173",4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Bacteria","Firmicutes","other","other","other","other"
"Otu174",0,0,1,0,0,2,2,1,1,0,0,2,1,2,0,3,1,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu175",3,0,2,1,3,0,0,0,1,0,1,0,0,1,1,2,0,0,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu176",0,0,7,1,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu177",0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu178",0,1,6,3,2,5,1,0,4,2,1,2,1,0,2,4,4,8,7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu179",0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,"Bacteria","other","other","other","other","other"
"Otu18",44,54,31,138,10,30,39,117,29,48,6,12,46,39,19,171,116,158,19,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
"Otu180",4,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu181",3,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu182",0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,1,3,6,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu183",0,0,0,0,0,2,0,3,2,0,0,0,1,0,0,1,0,2,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu184",42,40,101,11,0,2,1,2,2,6,0,1,0,1,7,8,6,17,4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu185",15,5,13,2,6,10,1,13,5,5,1,5,5,3,6,9,3,4,10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu186",2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu187",11,12,15,2,7,35,1,6,11,5,2,2,2,5,7,62,14,22,4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu188",15,2,29,6,23,17,10,18,35,5,1,2,6,6,8,11,19,18,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu189",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu19",72,70,338,40,58,63,12,58,44,7,3,4,3,5,20,8,12,8,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu190",0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu191",3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu192",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,"Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu193",94,19,43,7,12,15,9,18,16,23,3,6,10,3,3,2,12,11,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu194",0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu195",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
"Otu196",4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu197",1,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu198",10,21,82,16,34,37,30,39,53,9,1,2,4,5,8,10,9,19,7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu199",3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu2",329,324,1576,590,247,658,477,338,396,353,293,163,263,463,220,1194,730,766,221,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu20",111,274,590,20,93,78,29,54,106,15,6,2,7,8,46,28,51,43,24,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu200",0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu201",1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu202",5,10,22,4,4,11,1,5,7,9,7,7,4,10,1,33,18,13,5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu203",0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu204",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,0,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Otu205",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu206",1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu207",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
"Otu208",1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,1,0,2,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu209",0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu21",74,99,200,14,52,114,50,39,52,2,4,1,2,6,37,35,8,6,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu210",0,2,1,1,2,2,1,3,0,2,0,0,1,2,4,6,6,4,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu211",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu212",0,5,9,1,7,6,2,3,5,3,0,0,2,1,3,2,4,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu213",0,0,0,0,1,2,0,1,1,0,1,0,0,0,2,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"Otu214",14,7,3,0,2,5,0,5,4,0,2,2,6,1,6,0,2,3,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu215",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","other"
"Otu216",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu217",4,0,1,0,0,0,0,0,0,1,0,2,0,1,2,1,2,6,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu218",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis"
"Otu219",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,3,"Bacteria","Firmicutes","other","other","other","other"
"Otu22",24,6,30,21,22,20,48,17,35,50,14,2,10,17,16,106,165,90,49,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu221",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu222",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu223",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","other"
"Otu23",0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu24",31,48,145,19,43,55,14,44,66,9,5,13,13,16,46,37,17,46,31,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu25",28,31,41,9,0,22,4,9,15,53,11,26,11,18,23,46,45,150,89,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu26",43,144,108,8,46,22,7,49,93,36,4,4,10,10,35,17,22,37,16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella"
"Otu27",63,27,94,23,132,77,36,60,84,12,20,20,18,21,26,52,94,45,36,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu28",33,146,259,9,16,24,21,108,93,1,1,0,1,0,2,0,0,1,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu29",140,111,145,21,58,85,14,65,72,38,10,19,24,20,41,29,22,93,46,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu3",444,72,485,209,160,415,315,145,210,521,163,238,374,596,414,1199,948,963,489,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","other","other"
"Otu30",27,32,42,7,10,28,11,6,14,26,12,14,5,6,31,42,49,84,29,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu31",45,52,156,13,48,52,17,63,103,3,4,1,1,0,4,24,5,12,4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu32",0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu33",2,4,4,4,4,14,3,25,39,60,12,39,35,43,101,40,11,4,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu34",31,33,42,4,24,23,9,25,38,44,5,36,2,15,32,22,50,62,38,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu35",17,22,85,8,18,21,10,22,30,13,7,11,2,7,24,39,22,44,40,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu36",50,65,89,29,7,5,1,8,4,26,2,7,3,2,29,18,22,70,38,"Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter"
"Otu38",5,73,54,9,50,24,6,16,30,8,0,1,1,1,11,10,16,35,16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu39",63,54,167,10,10,27,8,44,24,12,5,5,3,9,15,14,16,59,20,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu4",394,188,1060,416,240,507,382,292,424,283,140,186,259,432,218,841,548,667,348,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu40",34,44,153,4,9,43,12,13,24,2,2,3,0,1,4,12,5,7,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta"
"Otu41",54,26,38,2,18,21,5,6,16,6,8,8,14,9,19,31,24,39,17,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu42",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia"
"Otu43",18,36,51,13,21,26,8,23,27,28,3,4,4,2,15,32,22,28,16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
