"X.OTU.ID","F3D0","F3D1","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150"
"Otu8",401,130,467,249,163,392,277,195,290,344,232,218,339,565,307,1295,862,811,328
"Otu80",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Otu81",5,4,11,1,10,5,1,2,6,25,4,17,3,11,13,10,34,58,44
"Otu82",0,4,20,4,6,5,1,7,8,10,3,3,3,5,13,12,9,24,11
"Otu83",9,6,43,9,6,11,2,9,15,12,5,6,10,9,13,13,28,53,12
"Otu84",1,31,4,14,18,16,19,12,8,5,4,3,9,3,3,19,18,7,2
"Otu85",4,46,51,7,4,3,1,5,10,1,3,0,1,3,5,7,5,2,3
"Otu86",10,16,48,2,12,12,4,12,20,0,5,1,2,6,18,12,17,23,22
"Otu87",9,2,13,6,3,4,6,3,3,8,10,4,8,17,8,40,23,13,11
"Otu88",4,8,30,2,0,23,8,29,21,0,0,0,0,0,0,0,3,0,0
"Otu89",0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0
"Otu9",158,103,666,318,216,254,295,201,218,137,74,78,169,251,98,287,218,293,161
"Otu90",0,1,12,9,2,6,3,3,4,9,2,8,1,4,7,8,9,24,10
"Otu91",37,16,49,4,5,4,1,5,8,4,0,4,1,2,5,7,14,27,13
"Otu92",2,8,25,5,12,30,8,11,9,1,0,0,0,0,1,0,0,1,0
"Otu93",12,5,12,2,6,8,0,9,7,2,0,2,2,1,5,13,7,10,8
"Otu94",24,11,21,1,3,19,7,16,30,5,0,2,4,8,18,10,12,25,11
"Otu95",20,2,6,5,5,3,6,3,13,13,5,6,6,10,12,6,15,22,6
"Otu96",0,2,7,7,8,8,4,2,3,5,3,3,4,6,4,13,13,13,11
"Otu97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu98",6,23,20,2,2,3,2,7,3,9,1,1,1,1,3,0,3,19,9
"Otu99",0,0,0,0,0,0,2,11,5,3,9,3,9,15,10,12,10,5,6
